symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,candleCount,coveragePct,totalReturn,meanHourlyReturn,medianHourlyReturn,hourlyVolatility,positiveHourRate,negativeHourRate,maxHourlyGain,maxHourlyLoss,maxPositiveRun,maxNegativeRun,reversalRate,autocorrelation1h,meanVolume,volumeVolatility,volumeReturnCorrelation,volumeRangeCorrelation,return6h,return12h,return24h,return72h,return168h,volatility6h,volatility12h,volatility24h,volatility72h,volatility168h,range24h,efficiency24h,trendSlope24h,range72h,efficiency72h,trendSlope72h,range168h,efficiency168h,trendSlope168h
"ZECUSDT",477,"Sample",15,19.09358488,0.01393692,744,100,0.84558135,0.00087539,0,0.01008966,0.49932705,0.49932705,0.09510059,-0.04213833,8,8,0.50540541,0.04773642,6654.96135618,8474.55611386,0.24909423,0.8593342,-0.00221182,0.01201628,0.01533599,0.05952901,0.0207373,0.00782267,0.01065299,0.0099527,0.01022594,0.00977243,0.07887395,0.07936311,0.00195895,0.12385063,0.11251741,0.00071064,0.16358637,0.01782039,0.00034305
"YFIUSDT",912,"Sample",58,10.85524067,0.00960641,744,100,0.11482776,0.00016924,0,0.00676796,0.47510094,0.47779273,0.04016393,-0.06146572,6,8,0.54829123,-0.10857533,5.28442429,7.14463534,-0.13669056,0.81675153,-0.00490196,-0.00711427,0.00630915,-0.02061404,-0.038743,0.00261735,0.00410804,0.00509234,0.00491651,0.00644313,0.02801245,0.06730769,-0.00042531,0.05562856,0.07794362,-0.00022447,0.08379413,0.04912664,-0.00020794
"COMPUSDT",833,"Sample",51,8.68115935,0.00894965,744,100,0.16021765,0.00022843,0,0.0075259,0.48048452,0.45087483,0.04545455,-0.06456693,6,7,0.52234206,-0.05897595,1529.06490457,2896.85755664,0.06189798,0.7603202,0.00840778,0.02183174,0.06374723,0.05266045,-0.02241467,0.0044517,0.00486834,0.00791594,0.00621954,0.00885809,0.0719385,0.395189,0.00139221,0.08118486,0.15286624,0.00053952,0.13397371,0.02458101,-0.00041706
"BTCUSDT",11,"Sample",0,5.41456565,0.00515673,744,100,0.2485506,0.00030662,0.00008078,0.0039681,0.512786,0.487214,0.03990689,-0.01699916,8,7,0.52695418,0.0126705,634.48019981,657.57029252,0.33631289,0.8828783,-0.00400609,0.00339473,0.01157656,0.00944713,-0.00520883,0.00207016,0.00356058,0.00333558,0.0028281,0.00366455,0.02383976,0.18399607,0.00069824,0.03087467,0.06712719,0.0001756,0.05757299,0.01175616,-0.0001012
"DCRUSDT",882,"Sample",56,5.31500437,0.00536869,744,100,0.11017598,0.00017599,0,0.0084482,0.4858681,0.44279946,0.11111111,-0.05721003,7,6,0.52877138,-0.01086629,923.32083468,1544.04151123,0.15997064,0.90313586,-0.01023192,0.00554401,0.03716941,0.02907801,0.04463643,0.0026411,0.00659165,0.01279029,0.00855393,0.00714178,0.08498584,0.18309859,0.00139426,0.08498584,0.07578558,0.00052096,0.11453114,0.05372617,0.0002774
"AAVEUSDT",1092,"OutOfSample",31,4.23979032,0.00785146,744,100,0.35365322,0.0004456,0.0002321,0.00873953,0.50874832,0.487214,0.05825154,-0.05146014,10,7,0.49320652,0.0287235,5672.10121102,7156.93104242,0.10607892,0.85190549,0.00380074,0.0084491,0.01388549,0.01562756,-0.06189541,0.00212778,0.00698901,0.00648236,0.0069342,0.00824095,0.03572872,0.11440108,0.00060232,0.08013451,0.04217267,0.00019468,0.12527209,0.06450343,-0.00024415
"SOLUSDT",779,"Sample",46,4.08775993,0.00704786,744,100,0.41158745,0.0004823,0.00013092,0.00604559,0.51009421,0.46837147,0.03487817,-0.04962179,11,6,0.51758087,-0.02507849,98121.75248521,120282.39491428,0.08338869,0.922476,-0.00559629,-0.0032882,0.01287469,-0.01046567,0.04132565,0.00501696,0.00606322,0.00549306,0.00529599,0.00720558,0.04014098,0.11791179,0.0008078,0.06900202,0.03842087,-0.00020154,0.15377813,0.04668417,0.0003907
"LTCUSDT",190,"Sample",3,3.92376554,0.00530239,744,100,0.09593679,0.00013692,0.00021758,0.00520839,0.50874832,0.4602961,0.03664921,-0.0528137,8,6,0.55380201,-0.17016582,11839.70627016,13380.80373476,-0.09752901,0.8716527,-0.00061754,0.0041365,0.01272424,-0.01581188,-0.06020132,0.00341811,0.00385995,0.00423619,0.00408013,0.00487851,0.02751914,0.14420804,0.00037586,0.05529579,0.07142857,-0.0001558,0.10701956,0.10280992,-0.00032139
"ETHUSDT",12,"Sample",1,3.23730421,0.00449626,744,100,0.3233496,0.00039187,0.00008148,0.00545926,0.51547779,0.48317631,0.05847458,-0.02962103,8,8,0.54594595,0.09107923,10867.11061048,13908.86583414,0.34292906,0.91402145,-0.00313886,0.00870685,0.02100642,0.01017275,-0.00590579,0.00238656,0.00394493,0.00389683,0.00455165,0.0046826,0.03648718,0.2839962,0.00119825,0.06047157,0.05335022,0.00013546,0.07188373,0.01104614,-0.00007271
"DASHUSDT",490,"Sample",17,2.74413146,0.003977,744,100,0.43556124,0.00054961,0,0.01134374,0.47510094,0.49394347,0.1443955,-0.06647072,6,7,0.54310345,0.0648926,7788.67835887,13503.88490817,0.16663219,0.875241,-0.04712375,0.01561086,0.07624071,0.16658004,0.07908654,0.0102878,0.0199021,0.01706615,0.01553169,0.01262929,0.19054441,0.24461538,0.00588472,0.26352396,0.19477363,0.00217404,0.27041531,0.05522914,0.00054045
