symbol,binanceArrayPosition,datasetGroup,marketIndex,netProfit,returnPct,totalReturn,meanHourlyReturn,efficiency168h,return6h,volumeReturnCorrelation,range24h,volumeVolatility,meanVolume,volatility168h,range72h
"ZECUSDT",477,"Sample",15,19.093584879365956,0.013936923269610187,0.845581,0.000875,0.01782,-0.002212,0.249094,0.078874,8474.556114,6654.961356,0.009772,0.123851
"YFIUSDT",912,"Sample",58,10.855240665586129,0.009606407668660291,0.114828,0.000169,0.049127,-0.004902,-0.136691,0.028012,7.144635,5.284424,0.006443,0.055629
"COMPUSDT",833,"Sample",51,8.681159349790141,0.00894964881421664,0.160218,0.000228,0.024581,0.008408,0.061898,0.071938,2896.857557,1529.064905,0.008858,0.081185
"BTCUSDT",11,"Sample",0,5.414565649921552,0.005156729190401478,0.248551,0.000307,0.011756,-0.004006,0.336313,0.02384,657.570293,634.4802,0.003665,0.030875
"DCRUSDT",882,"Sample",56,5.315004369275451,0.005368691282096415,0.110176,0.000176,0.053726,-0.010232,0.159971,0.084986,1544.041511,923.320835,0.007142,0.084986
"AAVEUSDT",1092,"OutOfSample",31,4.23979032319625,0.007851463561474538,0.353653,0.000446,0.064503,0.003801,0.106079,0.035729,7156.931042,5672.101211,0.008241,0.080135
"SOLUSDT",779,"Sample",46,4.087759926981848,0.0070478619430721515,0.411587,0.000482,0.046684,-0.005596,0.083389,0.040141,120282.394914,98121.752485,0.007206,0.069002
"LTCUSDT",190,"Sample",3,3.923765538256096,0.005302385862508238,0.095937,0.000137,0.10281,-0.000618,-0.097529,0.027519,13380.803735,11839.70627,0.004879,0.055296
"ETHUSDT",12,"Sample",1,3.237304214147783,0.004496255852983032,0.32335,0.000392,0.011046,-0.003139,0.342929,0.036487,13908.865834,10867.11061,0.004683,0.060472
"DASHUSDT",490,"Sample",17,2.744131462295859,0.00397700211926936,0.435561,0.00055,0.055229,-0.047124,0.166632,0.190544,13503.884908,7788.678359,0.012629,0.263524
"INJUSDT",1113,"OutOfSample",39,2.111644872167153,0.007281534041955699,0.016073,0.00006,0.118607,-0.013208,-0.129373,0.036911,59824.019337,47108.262433,0.009547,0.095072
"MORPHOUSDT",3322,"OutOfSample",58,2.0610158762057993,0.014721541972898567,0.257371,0.000357,0.024113,-0.070214,-0.037657,0.124491,73804.518148,49333.607043,0.012001,0.154295
"LINKUSDT",431,"Sample",11,1.6724414212861214,0.003279296904482591,0.383967,0.000462,0.034538,-0.005619,0.090396,0.043614,131369.793698,103073.058374,0.006254,0.070654
"ONGUSDT",464,"Sample",12,1.2586000000000033,0.017980000000000048,1.09281,0.001996,0.010799,-0.026664,0.362756,0.198158,7682167.476428,3658187.122312,0.06164,0.407367
"MSTRBUSDT",3605,"OutOfSample",43,1.2046467261945655,0.003170122963669909,0.403498,0.000489,0.073246,0.000913,0.1742,0.060084,4897.045779,1761.251403,0.008968,0.065383
"ZENUSDT",842,"Sample",53,1.0768324804883163,0.003589441601627721,0.444331,0.000553,0.033087,-0.02218,0.026163,0.137518,34951.437078,19719.542661,0.012262,0.19497
"CRCLBUSDT",3592,"OutOfSample",25,0.9445948222780676,0.0018891896445561351,0.541207,0.000623,0.086884,0.020518,0.156551,0.123678,9142.422318,5543.384664,0.009224,0.123366
"ATOMUSDT",502,"Sample",20,0.928753739074089,0.011609421738426112,0.195122,0.000263,0.04257,-0.00068,0.065419,0.03078,64822.182053,56927.535094,0.006616,0.054435
"ZROUSDT",2670,"OutOfSample",53,0.3595999999999995,0.017979999999999975,0.389189,0.00052,0.028228,-0.016268,0.293032,0.081317,423026.710881,206098.001895,0.016908,0.106047
"NEOUSDT",141,"Sample",2,0.2854040668351565,0.00570808133670313,0.093783,0.000146,0.069509,0.003441,0.034018,0.035837,19780.308168,10537.318723,0.007839,0.081517
"CRVUSDT",939,"Sample",59,0.17980000000000174,0.017980000000000173,0.626083,0.000712,0.002198,0.076801,0.161809,0.152397,1138643.471041,665780.845565,0.009602,0.164174
"QTUMUSDT",279,"Sample",4,0.17980000000000085,0.017980000000000086,0.276398,0.000352,0.070652,0.01107,0.142606,0.044444,42470.45263,15206.9875,0.007339,0.084249
"STXUSDT",639,"Sample",35,0.17980000000000085,0.017980000000000086,0.824982,0.000881,0.040964,0.006811,0.145913,0.090571,656887.776687,398965.901613,0.015742,0.112072
"METUSDT",3391,"OutOfSample",30,0.17979999999999996,0.017979999999999996,0.097152,0.000193,0.094757,0.028796,0.220757,0.096123,496925.685123,193760.584409,0.012249,0.143678
"AVAXUSDT",1052,"OutOfSample",17,0.1227367528367156,0.00111578866215196,0.132279,0.000191,0.065709,0.000138,-0.058595,0.025727,110710.020381,87808.914395,0.005423,0.063022
