symbol,binanceArrayPosition,datasetGroup,netProfit,returnPct
ZECUSDT,477,Sample,19.093585,0.013937
YFIUSDT,912,Sample,10.855241,0.009606
COMPUSDT,833,Sample,8.681159,0.00895
BTCUSDT,11,Sample,5.414566,0.005157
DCRUSDT,882,Sample,5.315004,0.005369
AAVEUSDT,1092,OutOfSample,4.23979,0.007851
SOLUSDT,779,Sample,4.08776,0.007048
LTCUSDT,190,Sample,3.923766,0.005302
ETHUSDT,12,Sample,3.237304,0.004496
DASHUSDT,490,Sample,2.744131,0.003977
INJUSDT,1113,OutOfSample,2.111645,0.007282
MORPHOUSDT,3322,OutOfSample,2.061016,0.014722
LINKUSDT,431,Sample,1.672441,0.003279
ONGUSDT,464,Sample,1.2586,0.01798
MSTRBUSDT,3605,OutOfSample,1.204647,0.00317
ZENUSDT,842,Sample,1.076832,0.003589
CRCLBUSDT,3592,OutOfSample,0.944595,0.001889
ATOMUSDT,502,Sample,0.928754,0.011609
ZROUSDT,2670,OutOfSample,0.3596,0.01798
NEOUSDT,141,Sample,0.285404,0.005708
QTUMUSDT,279,Sample,0.1798,0.01798
STXUSDT,639,Sample,0.1798,0.01798
CRVUSDT,939,Sample,0.1798,0.01798
METUSDT,3391,OutOfSample,0.1798,0.01798
AVAXUSDT,1052,OutOfSample,0.122737,0.001116
APTUSDT,2108,OutOfSample,0.055213,0.005521
ASTERUSDT,3327,OutOfSample,0.02602,0.002602
ADAUSDT,296,Sample,0,0
IOTAUSDT,333,Sample,0,0
XLMUSDT,334,Sample,0,0
TRXUSDT,350,Sample,0,0
USDCUSDT,422,OutOfSample,0,0
ZILUSDT,467,Sample,0,0
ZRXUSDT,469,Sample,0,0
FETUSDT,472,OutOfSample,0,0
IOSTUSDT,481,OutOfSample,0,0
CELRUSDT,484,Sample,0,0
THETAUSDT,494,Sample,0,0
ENJUSDT,495,Sample,0,0
TFUELUSDT,519,Sample,0,0
ONEUSDT,525,Sample,0,0
ALGOUSDT,541,Sample,0,0
DOGEUSDT,558,Sample,0,0
DUSKUSDT,563,Sample,0,0
ANKRUSDT,569,Sample,0,0
WINUSDT,577,Sample,0,0
MTLUSDT,588,Sample,0,0
CVCUSDT,604,Sample,0,0
CHZUSDT,609,Sample,0,0
BANDUSDT,612,Sample,0,0
XTZUSDT,621,Sample,0,0
RVNUSDT,623,Sample,0,0
HBARUSDT,627,Sample,0,0
KAVAUSDT,642,Sample,0,0
ARPAUSDT,648,Sample,0,0
IOTXUSDT,651,Sample,0,0
RLCUSDT,652,Sample,0,0
EURUSDT,694,Sample,0,0
OGNUSDT,697,Sample,0,0
LSKUSDT,718,Sample,0,0
MBLUSDT,749,Sample,0,0
COTIUSDT,752,Sample,0,0
CTSIUSDT,786,Sample,0,0
HIVEUSDT,791,Sample,0,0
CHRUSDT,794,Sample,0,0
KNCUSDT,812,Sample,0,0
SCUSDT,841,Sample,0,0
SNXUSDT,849,Sample,0,0
VTHOUSDT,858,Sample,0,0
MANAUSDT,902,Sample,0,0
DOTUSDT,954,OutOfSample,0,0
FILUSDT,1105,OutOfSample,0,0
ICPUSDT,1424,OutOfSample,0,0
MINAUSDT,1563,OutOfSample,0,0
RAYUSDT,1566,OutOfSample,0,0
ARBUSDT,2167,OutOfSample,0,0
SUIUSDT,2202,OutOfSample,0,0
PEPEUSDT,2210,OutOfSample,0,0
WLDUSDT,2255,OutOfSample,0,0
FDUSDUSDT,2259,OutOfSample,0,0
BLURUSDT,2364,OutOfSample,0,0
JUPUSDT,2453,OutOfSample,0,0
ETHFIUSDT,2540,OutOfSample,0,0
ENAUSDT,2556,OutOfSample,0,0
SAGAUSDT,2576,OutOfSample,0,0
REZUSDT,2613,OutOfSample,0,0
POLUSDT,2733,OutOfSample,0,0
THEUSDT,2801,OutOfSample,0,0
PENGUUSDT,2860,OutOfSample,0,0
TUTUSDT,3020,OutOfSample,0,0
ONDOUSDT,3044,OutOfSample,0,0
USD1USDT,3110,OutOfSample,0,0
SOPHUSDT,3122,OutOfSample,0,0
SAHARAUSDT,3154,OutOfSample,0,0
WLFIUSDT,3226,OutOfSample,0,0
HOLOUSDT,3251,OutOfSample,0,0
PUMPUSDT,3256,OutOfSample,0,0
XPLUSDT,3289,OutOfSample,0,0
UUSDT,3470,OutOfSample,0,0
RLUSDUSDT,3480,OutOfSample,0,0
CHIPUSDT,3564,OutOfSample,0,0
AEROUSDT,3646,OutOfSample,0,0
BNBUSDT,98,OutOfSample,-0.01713,-0.000032
NEARUSDT,1097,OutOfSample,-0.060666,-0.002022
XRPUSDT,306,Sample,-0.085299,-0.00853
TRUMPUSDT,2908,OutOfSample,-0.159245,-0.001769
NVDABUSDT,3593,OutOfSample,-0.389735,-0.000549
PAXGUSDT,968,OutOfSample,-0.445425,-0.000627
UNIUSDT,1042,OutOfSample,-0.644592,-0.004297
GRAMUSDT,3623,OutOfSample,-0.79515,-0.015903
XAUTUSDT,3544,OutOfSample,-0.826004,-0.00102
SPCXBUSDT,3596,OutOfSample,-1.058747,-0.00158
TAOUSDT,2587,OutOfSample,-1.385994,-0.002829
QQQBUSDT,3617,OutOfSample,-1.790808,-0.002985
BCHUSDT,661,Sample,-2.119524,-0.002078
SNDKBUSDT,3594,OutOfSample,-2.736655,-0.003554
ETCUSDT,351,Sample,-2.914878,-0.010051
SOXLBUSDT,3632,OutOfSample,-6.357173,-0.010091
