fingerprint,catalogueCount,strategyCount,apiPositionMin,apiPositionMax,apiPositionSpan,averageApiPosition,medianApiPosition,contiguousRunCount,largestContiguousRun,positiveCount,flatCount,negativeCount,positiveRate,flatRate,negativeRate,totalNetProfit,meanNetProfit,medianNetProfit,meanPositiveProfit,meanNegativeProfit,positiveNetProfit,negativeNetProfit,strategySymbols,apiPositionRuns
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|marketLotMin=0|marketLotMax=891.47963333|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,477,477,0,477,477,1,1,1,0,0,1,0,0,19.093584879365956,19.093584879365956,19.093584879365956,19.093584879365956,,19.093584879365956,0,ZECUSDT,477-477
priceMin=1|priceMax=1000000|priceTick=1|lotMin=0.00001|lotMax=9000|lotStep=0.00001|marketLotMin=0|marketLotMax=3.54216537|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,912,912,0,912,912,1,1,1,0,0,1,0,0,10.855240665586129,10.855240665586129,10.855240665586129,10.855240665586129,,10.855240665586129,0,YFIUSDT,912-912
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|marketLotMin=0|marketLotMax=1603.21988333|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,833,833,0,833,833,1,1,1,0,0,1,0,0,8.681159349790141,8.681159349790141,8.681159349790141,8.681159349790141,,8.681159349790141,0,COMPUSDT,833-833
priceMin=0.01|priceMax=1000000|priceTick=0.01|lotMin=0.00001|lotMax=9000|lotStep=0.00001|marketLotMin=0|marketLotMax=129.73847458|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,11,11,0,11,11,1,1,1,0,0,1,0,0,5.414565649921552,5.414565649921552,5.414565649921552,5.414565649921552,,5.414565649921552,0,BTCUSDT,11-11
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=900000|lotStep=0.001|marketLotMin=0|marketLotMax=494.2534|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,882,882,0,882,882,1,1,1,0,0,1,0,0,5.315004369275451,5.315004369275451,5.315004369275451,5.315004369275451,,5.315004369275451,0,DCRUSDT,882-882
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=900000|lotStep=0.001|marketLotMin=0|marketLotMax=1471.16899583|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,1092,1092,0,1092,1092,1,1,1,0,0,1,0,0,4.23979032319625,4.23979032319625,4.23979032319625,4.23979032319625,,4.23979032319625,0,AAVEUSDT,1092-1092
priceMin=0.01|priceMax=10000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|marketLotMin=0|marketLotMax=89933.73975416|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,779,779,0,779,779,1,1,1,0,0,1,0,0,4.087759926981848,4.087759926981848,4.087759926981848,4.087759926981848,,4.087759926981848,0,SOLUSDT,779-779
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|marketLotMin=0|marketLotMax=8160.48570416|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,190,190,0,190,190,1,1,1,0,0,1,0,0,3.923765538256096,3.923765538256096,3.923765538256096,3.923765538256096,,3.923765538256096,0,LTCUSDT,190-190
priceMin=0.01|priceMax=1000000|priceTick=0.01|lotMin=0.0001|lotMax=9000|lotStep=0.0001|marketLotMin=0|marketLotMax=2086.9197425|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,12,12,0,12,12,1,1,1,0,0,1,0,0,3.237304214147783,3.237304214147783,3.237304214147783,3.237304214147783,,3.237304214147783,0,ETHUSDT,12-12
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|marketLotMin=0|marketLotMax=3052.61434166|marketLotStep=0|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,490,490,0,490,490,1,1,1,0,0,1,0,0,2.744131462295859,2.744131462295859,2.744131462295859,2.744131462295859,,2.744131462295859,0,DASHUSDT,490-490
