fingerprint,catalogueCount,strategyCount,apiPositionMin,apiPositionMax,apiPositionSpan,averageApiPosition,medianApiPosition,contiguousRunCount,largestContiguousRun,positiveCount,flatCount,negativeCount,positiveRate,flatRate,negativeRate,totalNetProfit,meanNetProfit,medianNetProfit,meanPositiveProfit,meanNegativeProfit,positiveNetProfit,negativeNetProfit,strategySymbols,apiPositionRuns
priceMin=0.00001|priceMax=1000|priceTick=0.00001|lotMin=1|lotMax=9000000|lotStep=1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,32,8,519,3502,2983,1506.625,1063.5,31,2,0,8,0,0,1,0,0,0,0,,,0,0,TFUELUSDT|DOGEUSDT|CVCUSDT|CHZUSDT|HBARUSDT|COTIUSDT|CTSIUSDT|CHRUSDT,519-519|558-558|560-560|601-601|604-604|609-609|622-622|627-627|711-711|752-752|786-786|794-794|798-798|816-816|879-879|942-942|1185-1186|1262-1262|1264-1264|1276-1276|2051-2051|2194-2194|2291-2291|2792-2792|2805-2805|2818-2818|2820-2820|2981-2981|3212-3212|3395-3395|3502-3502
priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=92141578|lotStep=0.1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,180,7,990,3683,2693,2599.9055555555556,2603,135,3,1,6,0,0.14285714285714285,0.8571428571428571,0,0.17979999999999996,0.02568571428571428,0,0.17979999999999996,,0.17979999999999996,0,ARBUSDT|SUIUSDT|WLDUSDT|JUPUSDT|ETHFIUSDT|THEUSDT|METUSDT,990-990|1436-1437|1440-1440|1455-1455|1541-1541|1573-1574|1580-1581|1604-1604|1609-1610|1641-1641|1644-1644|1656-1656|1661-1661|1665-1665|1680-1680|1697-1697|1701-1701|1765-1765|1813-1814|1822-1823|1879-1879|1895-1896|1902-1903|1927-1927|1949-1949|1956-1956|1977-1978|1998-1998|2014-2014|2047-2047|2081-2081|2105-2106|2121-2121|2127-2128|2131-2132|2135-2135|2151-2151|2159-2159|2167-2167|2171-2171|2173-2173|2202-2203|2206-2206|2221-2221|2235-2235|2243-2243|2255-2255|2275-2275|2284-2284|2299-2299|2302-2302|2304-2304|2357-2357|2366-2366|2381-2382|2397-2397|2410-2410|2418-2418|2420-2420|2429-2431|2442-2442|2453-2454|2457-2457|2461-2461|2471-2471|2476-2476|2485-2485|2540-2540|2566-2566|2569-2569|2572-2573|2583-2583|2623-2623|2632-2632|2651-2651|2665-2665|2667-2667|2715-2715|2719-2720|2799-2799|2801-2801|2808-2808|2829-2829|2831-2831|2839-2839|2865-2865|2875-2875|2892-2893|2937-2937|2939-2939|2947-2948|2950-2950|2966-2966|2973-2974|2997-2998|3003-3003|3008-3008|3013-3013|3015-3016|3065-3066|3068-3068|3073-3073|3095-3095|3118-3118|3120-3121|3142-3142|3151-3151|3161-3162|3164-3164|3184-3186|3188-3188|3196-3197|3199-3199|3202-3202|3239-3240|3242-3242|3259-3260|3262-3264|3271-3273|3288-3288|3366-3367|3370-3371|3375-3376|3381-3382|3388-3389|3391-3392|3444-3444|3459-3460|3462-3463|3472-3472|3496-3496|3554-3554|3559-3560|3567-3567|3683-3683
priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,67,7,141,3539,3398,1588.0746268656717,1310,52,3,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,1.024196170439847,-0.6445915026535254,5.120980852199235,-0.6445915026535254,NEOUSDT|LINKUSDT|ATOMUSDT|DOTUSDT|UNIUSDT|AVAXUSDT|INJUSDT,141-141|431-432|434-435|488-488|502-503|635-635|724-724|727-727|908-908|915-915|953-954|979-979|1032-1032|1041-1042|1052-1052|1066-1066|1113-1113|1116-1116|1131-1131|1181-1181|1215-1215|1217-1218|1228-1228|1237-1237|1246-1246|1286-1286|1303-1303|1310-1311|1326-1328|1331-1331|1400-1401|1403-1405|1959-1959|1973-1973|2160-2160|2313-2314|2320-2320|2322-2322|2350-2350|2355-2355|2391-2391|2411-2413|2489-2489|2504-2504|2938-2938|3002-3002|3452-3452|3454-3454|3467-3467|3514-3514|3518-3518|3539-3539
priceMin=0.001|priceMax=1000|priceTick=0.001|lotMin=0.01|lotMax=92141578|lotStep=0.01|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,82,5,1104,3624,2520,2544.890243902439,2570,62,4,4,0,1,0.8,0,0.2,1.7066986117857603,0.34133972235715204,0.05521301482701779,0.6254622037226711,-0.7951502031049242,2.5018488148906846,-0.7951502031049242,APTUSDT|ZROUSDT|MORPHOUSDT|ASTERUSDT|GRAMUSDT,1104-1104|1214-1214|1534-1534|1692-1692|1694-1694|1754-1754|1756-1756|1783-1784|1789-1789|1905-1905|1919-1920|1939-1939|1941-1941|1964-1964|1967-1967|1969-1969|1974-1975|1984-1985|2008-2008|2017-2017|2019-2020|2034-2034|2056-2056|2108-2108|2113-2113|2119-2119|2145-2145|2177-2177|2179-2179|2280-2280|2282-2283|2344-2344|2354-2354|2451-2451|2549-2549|2591-2591|2600-2600|2638-2638|2660-2660|2670-2671|2677-2677|2690-2692|2694-2694|2697-2698|2705-2705|2815-2815|2827-2827|2838-2838|2840-2840|3210-3210|3279-3279|3322-3323|3325-3325|3327-3328|3335-3337|3340-3342|3448-3448|3494-3494|3549-3549|3579-3580|3618-3618|3621-3624
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=922327|lotStep=0.001|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,61,5,1551,3694,2143,3192.1639344262294,3626,30,15,1,0,4,0.2,0,0.8,-8.391816402074612,-1.6783632804149224,-1.058746592083142,1.2046467261945655,-2.3991157820672946,1.2046467261945655,-9.596463128269178,NVDABUSDT|SPCXBUSDT|MSTRBUSDT|QQQBUSDT|SOXLBUSDT,1551-1551|1569-1570|1597-1597|1607-1607|1622-1622|1635-1636|1811-1811|1897-1897|1976-1976|1996-1996|2033-2033|2295-2295|3036-3036|3201-3201|3591-3591|3593-3593|3595-3596|3602-3605|3613-3617|3625-3626|3628-3642|3644-3644|3655-3655|3659-3663|3667-3667|3673-3674|3679-3679|3685-3686|3688-3688|3694-3694
priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=900000|lotStep=0.1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,45,5,296,3501,3205,1240.1333333333334,1025,39,3,1,4,0,0.2,0.8,0,0.17980000000000085,0.03596000000000017,0,0.17980000000000085,,0.17980000000000085,0,ADAUSDT|XTZUSDT|STXUSDT|RLCUSDT|LSKUSDT,296-296|323-323|420-420|423-423|486-486|591-591|621-621|639-639|652-652|655-655|692-693|714-715|718-720|738-738|755-755|803-803|845-845|923-923|1025-1026|1120-1120|1125-1125|1151-1151|1154-1154|1173-1173|1222-1222|1287-1287|1290-1290|1306-1306|1346-1346|1360-1360|1375-1376|2310-2310|2433-2433|2603-2603|2816-2816|2825-2825|3394-3394|3447-3447|3501-3501
priceMin=0.000001|priceMax=1000|priceTick=0.000001|lotMin=1|lotMax=92141578|lotStep=1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,42,5,452,3183,2731,1640.7619047619048,1632,37,3,0,5,0,0,1,0,0,0,0,,,0,0,IOTXUSDT|MBLUSDT|SCUSDT|VTHOUSDT|PENGUUSDT,452-452|466-466|598-600|603-603|651-651|672-672|749-749|810-810|841-841|858-858|1224-1224|1253-1254|1380-1380|1385-1385|1474-1474|1508-1508|1594-1594|1625-1625|1639-1639|1659-1659|1685-1685|1749-1749|1773-1774|1839-1840|2015-2015|2059-2059|2297-2297|2371-2371|2581-2581|2601-2601|2807-2807|2850-2850|2860-2860|2862-2862|2868-2868|3004-3004|3183-3183
priceMin=0.0001|priceMax=100|priceTick=0.0001|lotMin=0.1|lotMax=913205152|lotStep=0.1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,88,4,1615,3691,2076,3159.6363636363635,3177,58,2,0,4,0,0,1,0,0,0,0,,,0,0,ONDOUSDT|HOLOUSDT|AEROUSDT|MARSCOINUSDT,1615-1616|2084-2085|2739-2739|2766-2767|2769-2769|2776-2776|2780-2781|2784-2784|2789-2789|2811-2811|2817-2817|2871-2871|2961-2962|2964-2964|2995-2995|3044-3045|3048-3049|3051-3051|3053-3054|3056-3056|3080-3081|3083-3083|3087-3088|3094-3094|3098-3099|3101-3101|3108-3108|3133-3133|3170-3171|3173-3173|3175-3176|3178-3178|3232-3233|3235-3235|3251-3252|3254-3254|3292-3292|3297-3297|3310-3310|3330-3331|3333-3333|3345-3346|3348-3348|3350-3351|3353-3353|3355-3356|3358-3358|3405-3406|3455-3456|3519-3520|3522-3523|3534-3535|3584-3585|3587-3588|3598-3599|3609-3610|3646-3647|3690-3691
priceMin=0.00001|priceMax=100|priceTick=0.00001|lotMin=1|lotMax=913205152|lotStep=1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,71,4,1085,3697,2612,3193.211267605634,3249,46,4,0,4,0,0,1,0,0,0,0,,,0,0,SOPHUSDT|SAHARAUSDT|CHIPUSDT|牛来USDT,1085-1085|1618-1618|2091-2091|2153-2153|2308-2308|2331-2331|2878-2878|3026-3026|3028-3028|3035-3035|3039-3040|3042-3042|3062-3062|3075-3076|3078-3078|3089-3090|3104-3104|3111-3112|3114-3114|3122-3123|3125-3125|3135-3136|3138-3138|3154-3155|3157-3157|3191-3192|3194-3194|3249-3249|3269-3270|3312-3312|3314-3317|3319-3319|3473-3474|3482-3483|3491-3492|3498-3499|3508-3509|3511-3512|3530-3531|3541-3542|3552-3552|3564-3565|3569-3571|3581-3582|3607-3607|3696-3697
priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=1|lotMax=900000|lotStep=1|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,48,4,333,3283,2950,1165.375,983.5,37,3,0,4,0,0,1,0,0,0,0,,,0,0,IOTAUSDT|ZRXUSDT|HIVEUSDT|MANAUSDT,333-333|372-372|469-469|473-473|587-587|618-618|631-631|737-737|740-740|753-753|773-773|791-791|797-797|820-820|878-878|881-881|883-883|901-903|918-918|946-947|983-984|1046-1046|1061-1062|1082-1083|1142-1143|1166-1166|1256-1257|1274-1275|1289-1289|1292-1292|1302-1302|1336-1337|2162-2162|2378-2378|2845-2846|3001-3001|3283-3283
