symbol,datasetGroup,apiPosition,historicalBinanceArrayPosition,profitClass,netProfit,grossProfit,fees,returnPct,signals,accepted,buys,sells,winningPositions,losingPositions,flatPositions,winRate,priceMin,priceMax,priceTick,lotMin,lotMax,lotStep,marketLotMin,marketLotMax,marketLotStep,percentBidUp,percentBidDown,percentAskUp,percentAskDown,percentAvgPriceMins,minNotional,maxNotional,baseAssetPrecision,quotePrecision,quoteAssetPrecision,structuralFingerprint,cohortCatalogueCount,cohortStrategyCount,cohortPositiveRate,cohortFlatRate,cohortNegativeRate,cohortTotalNetProfit,cohortMeanNetProfit,cohortMedianNetProfit,cohortPositiveNetProfit,cohortNegativeNetProfit
ZECUSDT,Sample,477,477,positive,19.093584879365956,21.855440319685595,2.761855440319688,0.013936923269610187,4218,137,137,405,128,9,0,0.9343065693430657,0.01,100000,0.01,0.001,90000,0.001,0,891.47963333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,13,4,1,0,0,34.44264122970805,8.610660307427013,6.302462444023119,34.44264122970805,0
YFIUSDT,Sample,912,912,positive,10.855240665586129,13.128369034620729,2.273128369034623,0.009606407668660291,4090,113,113,307,88,25,0,0.7787610619469026,1,1000000,1,0.00001,9000,0.00001,0,3.54216537,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=1|priceMax=1000000|priceTick=1|lotMin=0.00001|lotMax=9000|lotStep=0.00001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,1,1,1,0,0,10.855240665586129,10.855240665586129,10.855240665586129,10.855240665586129,0
COMPUSDT,Sample,833,833,positive,8.681159349790141,10.631791140931044,1.9506317911409343,0.00894964881421664,3455,97,97,254,79,18,0,0.8144329896907216,0.01,100000,0.01,0.001,90000,0.001,0,1603.21988333,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,13,4,1,0,0,34.44264122970805,8.610660307427013,6.302462444023119,34.44264122970805,0
BTCUSDT,Sample,11,11,positive,5.414565649921552,7.522087737659184,2.107522087737661,0.005156729190401478,4393,105,105,247,79,26,0,0.7523809523809524,0.01,1000000,0.01,0.00001,9000,0.00001,0,129.73847458,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=1000000|priceTick=0.01|lotMin=0.00001|lotMax=9000|lotStep=0.00001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,9,1,1,0,0,5.414565649921552,5.414565649921552,5.414565649921552,5.414565649921552,0
DCRUSDT,Sample,882,882,positive,5.315004369275451,7.3023066759513755,1.9873023066759534,0.005368691282096415,3480,99,99,246,58,41,0,0.5858585858585859,0.01,100000,0.01,0.001,900000,0.001,0,494.2534,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=900000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,12,3,0.6666666666666666,0,0.3333333333333333,9.53766483000453,3.1792216100015103,4.23979032319625,9.554794692471702,-0.017129862467172297
AAVEUSDT,OutOfSample,1092,1092,positive,4.23979032319625,5.325115438634867,1.0853251154386372,0.007851463561474538,4276,54,54,149,47,7,0,0.8703703703703703,0.01,100000,0.01,0.001,900000,0.001,0,1471.16899583,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=900000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,12,3,0.6666666666666666,0,0.3333333333333333,9.53766483000453,3.1792216100015103,4.23979032319625,9.554794692471702,-0.017129862467172297
SOLUSDT,Sample,779,779,positive,4.087759926981848,5.253012939921752,1.1652530129399232,0.0070478619430721515,4104,58,58,150,42,16,0,0.7241379310344828,0.01,10000,0.01,0.001,90000,0.001,0,89933.73975416,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=10000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,8,1,1,0,0,4.087759926981848,4.087759926981848,4.087759926981848,4.087759926981848,0
LTCUSDT,Sample,190,190,positive,3.923765538256096,5.409174712969043,1.4854091747129703,0.005302385862508238,3623,74,74,177,52,22,0,0.7027027027027027,0.01,100000,0.01,0.001,90000,0.001,0,8160.48570416,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,13,4,1,0,0,34.44264122970805,8.610660307427013,6.302462444023119,34.44264122970805,0
ETHUSDT,Sample,12,12,positive,3.237304214147783,4.681986200348114,1.4446819862003495,0.004496255852983032,4156,72,72,170,50,22,0,0.6944444444444444,0.01,1000000,0.01,0.0001,9000,0.0001,0,2086.9197425,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=1000000|priceTick=0.01|lotMin=0.0001|lotMax=9000|lotStep=0.0001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,7,1,1,0,0,3.237304214147783,3.237304214147783,3.237304214147783,3.237304214147783,0
DASHUSDT,Sample,490,490,positive,2.744131462295859,4.128259722017863,1.3841282597220197,0.00397700211926936,3985,69,69,188,55,14,0,0.7971014492753623,0.01,100000,0.01,0.001,90000,0.001,0,3052.61434166,0,1.2,0.5,2,0.8,5,5,9000000,8,8,8,priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,13,4,1,0,0,34.44264122970805,8.610660307427013,6.302462444023119,34.44264122970805,0
