fingerprint,catalogueCount,strategyCount,apiPositionMin,apiPositionMax,apiPositionSpan,averageApiPosition,medianApiPosition,contiguousRunCount,largestContiguousRun,positiveCount,flatCount,negativeCount,positiveRate,flatRate,negativeRate,totalNetProfit,meanNetProfit,medianNetProfit,meanPositiveProfit,meanNegativeProfit,positiveNetProfit,negativeNetProfit,strategySymbols,apiPositionRuns
priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=92141578|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,87,7,990,3683,2693,2903.0114942528735,3003,65,3,1,6,0,0.14285714285714285,0.8571428571428571,0,0.17979999999999996,0.02568571428571428,0,0.17979999999999996,,0.17979999999999996,0,ARBUSDT|SUIUSDT|WLDUSDT|JUPUSDT|ETHFIUSDT|THEUSDT|METUSDT,990-990|1665-1665|1903-1903|2106-2106|2132-2132|2151-2151|2159-2159|2167-2167|2202-2202|2206-2206|2243-2243|2255-2255|2302-2302|2357-2357|2381-2381|2397-2397|2410-2410|2418-2418|2442-2442|2453-2454|2471-2471|2485-2485|2540-2540|2569-2569|2572-2572|2583-2583|2632-2632|2651-2651|2665-2665|2801-2801|2808-2808|2829-2829|2892-2893|2937-2937|2939-2939|2947-2948|2966-2966|2973-2973|2997-2998|3003-3003|3015-3016|3065-3066|3121-3121|3161-3162|3184-3186|3196-3197|3239-3240|3242-3242|3259-3260|3262-3263|3271-3272|3366-3367|3370-3371|3375-3376|3381-3382|3388-3389|3391-3392|3444-3444|3462-3463|3472-3472|3496-3496|3554-3554|3559-3560|3567-3567|3683-3683
priceMin=0.001|priceMax=10000|priceTick=0.001|lotMin=0.01|lotMax=90000|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,35,7,141,3539,3398,1818.7428571428572,1401,32,3,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285,4.476389349545711,0.6394841927922444,0.2854040668351565,1.024196170439847,-0.6445915026535254,5.120980852199235,-0.6445915026535254,NEOUSDT|LINKUSDT|ATOMUSDT|DOTUSDT|UNIUSDT|AVAXUSDT|INJUSDT,141-141|431-431|434-434|488-488|502-503|954-954|1042-1042|1052-1052|1113-1113|1116-1116|1131-1131|1215-1215|1218-1218|1228-1228|1286-1286|1328-1328|1401-1401|1959-1959|2160-2160|2314-2314|2320-2320|2322-2322|2391-2391|2411-2413|2489-2489|2938-2938|3452-3452|3454-3454|3467-3467|3514-3514|3518-3518|3539-3539
priceMin=0.00001|priceMax=1000|priceTick=0.00001|lotMin=1|lotMax=9000000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,13,7,519,3395,2876,1434.1538461538462,794,13,1,0,7,0,0,1,0,0,0,0,,,0,0,TFUELUSDT|CVCUSDT|CHZUSDT|HBARUSDT|COTIUSDT|CTSIUSDT|CHRUSDT,519-519|604-604|609-609|627-627|752-752|786-786|794-794|942-942|1186-1186|2792-2792|2818-2818|2820-2820|3395-3395
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=922327|lotStep=0.001|bidUp=1.1|bidDown=0.8|askUp=1.2|askDown=0.9|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,45,5,3591,3694,103,3637.5555555555557,3635,16,15,1,0,4,0.2,0,0.8,-8.391816402074612,-1.6783632804149224,-1.058746592083142,1.2046467261945655,-2.3991157820672946,1.2046467261945655,-9.596463128269178,NVDABUSDT|SPCXBUSDT|MSTRBUSDT|QQQBUSDT|SOXLBUSDT,3591-3591|3593-3593|3595-3596|3602-3605|3613-3617|3625-3626|3628-3642|3644-3644|3655-3655|3659-3663|3667-3667|3673-3674|3679-3679|3685-3686|3688-3688|3694-3694
priceMin=0.001|priceMax=1000|priceTick=0.001|lotMin=0.01|lotMax=92141578|lotStep=0.01|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,37,5,1534,3624,2090,2793.5135135135133,2694,29,4,4,0,1,0.8,0,0.2,1.7066986117857603,0.34133972235715204,0.05521301482701779,0.6254622037226711,-0.7951502031049242,2.5018488148906846,-0.7951502031049242,APTUSDT|ZROUSDT|MORPHOUSDT|ASTERUSDT|GRAMUSDT,1534-1534|1694-1694|1754-1754|1789-1789|1920-1920|1941-1941|2019-2019|2108-2108|2113-2113|2145-2145|2282-2282|2451-2451|2600-2600|2670-2671|2677-2677|2690-2690|2692-2692|2694-2694|2827-2827|2838-2838|3322-3323|3327-3328|3335-3336|3340-3341|3448-3448|3494-3494|3549-3549|3618-3618|3621-3624
priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=0.1|lotMax=900000|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,20,5,296,3501,3205,1498.8,1138,19,2,1,4,0,0.2,0.8,0,0.17980000000000085,0.03596000000000017,0,0.17980000000000085,,0.17980000000000085,0,ADAUSDT|XTZUSDT|STXUSDT|RLCUSDT|LSKUSDT,296-296|486-486|621-621|639-639|652-652|692-692|718-719|1026-1026|1125-1125|1151-1151|1173-1173|1222-1222|1376-1376|2310-2310|2603-2603|2825-2825|3394-3394|3447-3447|3501-3501
priceMin=0.0001|priceMax=100|priceTick=0.0001|lotMin=0.1|lotMax=913205152|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,58,4,2085,3691,1606,3274.155172413793,3330.5,31,2,0,4,0,0,1,0,0,0,0,,,0,0,ONDOUSDT|HOLOUSDT|AEROUSDT|MARSCOINUSDT,2085-2085|2766-2767|2811-2811|2817-2817|2961-2962|3044-3045|3048-3049|3053-3054|3080-3081|3087-3088|3098-3099|3170-3171|3173-3173|3175-3176|3232-3233|3251-3252|3330-3331|3345-3346|3350-3351|3355-3356|3405-3406|3455-3456|3519-3520|3522-3523|3534-3535|3584-3585|3587-3588|3598-3599|3609-3610|3646-3647|3690-3691
priceMin=0.0001|priceMax=10000|priceTick=0.0001|lotMin=0.1|lotMax=9222449|lotStep=0.1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,14,4,306,3497,3191,2207.285714285714,2542,14,1,0,3,1,0,0.75,0.25,-0.08529875666074481,-0.021324689165186202,0,,-0.08529875666074481,0,-0.08529875666074481,XRPUSDT|KNCUSDT|MINAUSDT|RAYUSDT,306-306|419-419|812-812|1378-1378|1563-1563|1566-1566|2290-2290|2794-2794|2986-2986|2988-2988|3379-3379|3445-3445|3479-3479|3497-3497
priceMin=0.01|priceMax=100000|priceTick=0.01|lotMin=0.001|lotMax=90000|lotStep=0.001|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,13,4,190,3517,3327,1979.1538461538462,2309,13,1,4,0,0,1,0,0,34.44264122970805,8.610660307427013,6.302462444023119,8.610660307427013,,34.44264122970805,0,LTCUSDT|ZECUSDT|DASHUSDT|COMPUSDT,190-190|447-447|477-477|480-480|490-490|833-833|2309-2309|3169-3169|3374-3374|3451-3451|3477-3477|3515-3515|3517-3517
priceMin=0.0001|priceMax=1000|priceTick=0.0001|lotMin=1|lotMax=900000|lotStep=1|bidUp=1.2|bidDown=0.5|askUp=2|askDown=0.8|percentMins=5|minNotional=5|maxNotional=9000000|basePrecision=8|quotePrecision=8|quoteAssetPrecision=8,10,4,333,3283,2950,1266.7,892.5,10,1,0,4,0,0,1,0,0,0,0,,,0,0,IOTAUSDT|ZRXUSDT|HIVEUSDT|MANAUSDT,333-333|469-469|473-473|791-791|883-883|902-902|1257-1257|1275-1275|3001-3001|3283-3283
