symbol,datasetGroup,binanceArrayPosition,actualNetProfit,actualRank,predictedScore,predictedRank,actualQuartile,predictedQuartile,rankError,absoluteRankError
YFIUSDT,Sample,912,10.855240665586129,2,0.790052081935167,1,1,1,-1,1
BTCUSDT,Sample,11,5.414565649921552,4,0.7870519047690446,2,1,1,-2,2
ETHUSDT,Sample,12,3.237304214147783,8,0.7677103544677215,3,1,1,-5,5
ZECUSDT,Sample,477,19.093584879365956,1,0.7372061411985711,4,1,1,3,3
BCHUSDT,Sample,661,-2.1195238795901137,59,0.7342059640324488,5,4,1,-54,54
COMPUSDT,Sample,833,8.681159349790141,3,0.7312057868663264,6,1,1,3,3
DASHUSDT,Sample,490,2.744131462295859,9,0.7252054325340819,7,1,1,-2,2
LTCUSDT,Sample,190,3.923765538256096,7,0.716204901035715,8,1,1,1,1
DCRUSDT,Sample,882,5.315004369275451,5,0.7140581880642678,9,1,1,4,4
ZENUSDT,Sample,842,1.0768324804883163,12,0.6786944671846874,10,1,1,-2,2
NEOUSDT,Sample,141,0.2854040668351565,14,0.6708093678792054,11,1,1,-3,3
ETCUSDT,Sample,351,-2.914877561018076,60,0.6678091907130831,12,4,1,-48,48
LINKUSDT,Sample,431,1.6724414212861214,10,0.6588086592147162,13,1,1,3,3
SOLUSDT,Sample,779,4.087759926981848,6,0.6551700769347069,14,1,1,8,8
ATOMUSDT,Sample,502,0.928753739074089,13,0.6498081277163493,15,1,1,2,2
QTUMUSDT,Sample,279,0.17980000000000085,16.5,0.6362968538181412,16,2,2,-0.5,0.5
BANDUSDT,Sample,612,0,37.5,0.6212959679875297,17,3,2,-20.5,20.5
SNXUSDT,Sample,849,0,37.5,0.603294904990796,18,3,2,-19.5,19.5
THETAUSDT,Sample,494,0,37.5,0.5912941963263068,19,3,2,-18.5,18.5
MTLUSDT,Sample,588,0,37.5,0.5421224524220644,20,3,2,-17.5,17.5
CRVUSDT,Sample,939,0.17980000000000174,15,0.5374564791811368,21,1,2,6,6
LSKUSDT,Sample,718,0,37.5,0.5331219209236975,22,3,2,-15.5,15.5
RLCUSDT,Sample,652,0,37.5,0.5301217437575751,23,3,2,-14.5,14.5
KNCUSDT,Sample,812,0,37.5,0.5253367542967872,24,3,2,-13.5,13.5
STXUSDT,Sample,639,0.17980000000000085,16.5,0.5121206807608414,25,2,2,8.5,8.5
XTZUSDT,Sample,621,0,37.5,0.4941196177641075,26,3,2,-11.5,11.5
CELRUSDT,Sample,484,0,37.5,0.48633445113719737,27,3,2,-10.5,10.5
KAVAUSDT,Sample,642,0,37.5,0.47611855476737375,28,3,2,-9.5,9.5
ENJUSDT,Sample,495,0,37.5,0.47011820043512914,29,3,2,-8.5,8.5
ALGOUSDT,Sample,541,0,37.5,0.46437726140065716,30,3,2,-7.5,7.5
ONGUSDT,Sample,464,1.2586000000000033,11,0.4590114223646556,31,1,3,20,20
ADAUSDT,Sample,296,0,37.5,0.44911696027227305,32,3,3,-5.5,5.5
XRPUSDT,Sample,306,-0.08529875666074481,58,0.4443319708114852,33,4,3,-25,25
ZRXUSDT,Sample,469,0,37.5,0.44101035936792177,34,3,3,-3.5,3.5
EURUSDT,Sample,694,0,37.5,0.43771105088705414,35,3,3,-2.5,2.5
ARPAUSDT,Sample,648,0,37.5,0.4288683082329041,36,3,3,-1.5,1.5
HIVEUSDT,Sample,791,0,37.5,0.4200091192050657,37,3,3,-0.5,0.5
OGNUSDT,Sample,697,0,37.5,0.41700894203894334,38,3,3,0.5,0.5
MANAUSDT,Sample,902,0,37.5,0.4020080562083319,39,3,3,1.5,1.5
ZILUSDT,Sample,467,0,37.5,0.39886653657168114,40,3,3,2.5,2.5
TRXUSDT,Sample,350,0,37.5,0.3958663594055589,41,3,3,3.5,3.5
CVCUSDT,Sample,604,0,37.5,0.39376011283345214,42,3,3,4.5,4.5
CHRUSDT,Sample,794,0,37.5,0.3907599356673298,43,3,3,5.5,5.5
ANKRUSDT,Sample,569,0,37.5,0.38986600507331426,44,3,3,6.5,6.5
DUSKUSDT,Sample,563,0,37.5,0.3892003389743385,45,3,3,7.5,7.5
IOTAUSDT,Sample,333,0,37.5,0.3870071703777204,46,3,4,8.5,8.5
RVNUSDT,Sample,623,0,37.5,0.38686582790719204,47,3,4,9.5,9.5
ONEUSDT,Sample,525,0,37.5,0.3838656507410697,48,3,4,10.5,10.5
CTSIUSDT,Sample,786,0,37.5,0.3757590498367184,49,3,4,11.5,11.5
COTIUSDT,Sample,752,0,37.5,0.36075816400610683,50,3,4,12.5,12.5
TFUELUSDT,Sample,519,0,37.5,0.3577579868399846,51,3,4,13.5,13.5
XLMUSDT,Sample,334,0,37.5,0.34875745534161773,52,3,4,14.5,14.5
CHZUSDT,Sample,609,0,37.5,0.3457572781754954,53,3,4,15.5,15.5
HBARUSDT,Sample,627,0,37.5,0.3367567466771285,54,3,4,16.5,16.5
IOTXUSDT,Sample,651,0,37.5,0.31922378373899013,55,3,4,17.5,17.5
DOGEUSDT,Sample,558,0,37.5,0.3157555065142724,56,3,4,18.5,18.5
SCUSDT,Sample,841,0,37.5,0.30422289790837864,57,3,4,19.5,19.5
MBLUSDT,Sample,749,0,37.5,0.2892220120777672,58,3,4,20.5,20.5
VTHOUSDT,Sample,858,0,37.5,0.2862218349116449,59,3,4,21.5,21.5
WINUSDT,Sample,577,0,37.5,0.2371424725162174,60,3,4,22.5,22.5
PAXGUSDT,OutOfSample,968,-0.4454246266268,52,0.7765242991866839,1.5,4,1,-50.5,50.5
XAUTUSDT,OutOfSample,3544,-0.8260042193576344,55,0.7765242991866839,1.5,4,1,-53.5,53.5
SNDKBUSDT,OutOfSample,3594,-2.7366554408728145,59,0.7464383953861524,3,4,1,-56,56
AAVEUSDT,OutOfSample,1092,4.23979032319625,1,0.7031151160631461,4,1,1,3,3
TAOUSDT,OutOfSample,2587,-1.3859942816413302,57,0.7020200802335591,5,4,1,-52,52
BNBUSDT,OutOfSample,98,-0.017129862467172297,48,0.6942645934230853,6,4,1,-42,42
