symbol,datasetGroup,marketClass,marketNetProfit,marketReturnPct,strategySignals,acceptedSignals,rejectedByCapacity,acceptanceRate,candidateSignalsAnalysed,signalsPerDay,meanSlope20,medianSlope20,meanAcceleration,medianAcceleration,meanNormalisedSlope20,medianNormalisedSlope20,meanNormalisedAcceleration,medianNormalisedAcceleration,meanReturn5,meanReturn20,meanReturn50,meanVolatility20,meanVolatility50,meanEfficiency20,meanEfficiency50,meanTrendPersistence20,meanTrendPersistence50,meanReversalRate20,meanReversalRate50,meanForward5Return,meanForward15Return,meanForward30Return,meanForward60Return,meanForward120Return,meanForward360Return,meanForward720Return,meanForward1440Return,meanForward2880Return,meanMfe5,meanMfe15,meanMfe30,meanMfe60,meanMfe120,meanMfe360,meanMfe720,meanMfe1440,meanMfe2880,meanMae5,meanMae15,meanMae30,meanMae60,meanMae120,meanMae360,meanMae720,meanMae1440,meanMae2880,target1Rate,target2Rate,target4Rate,stopRate,reached1ThenFailed2Rate,reached2ThenFailed4Rate,meanTimeTo1PctMinutes,medianTimeTo1PctMinutes,meanTimeTo2PctMinutes,medianTimeTo2PctMinutes,meanTimeTo4PctMinutes,medianTimeTo4PctMinutes,meanTimeToStopMinutes,medianTimeToStopMinutes
BTCUSDT,Sample,positive,5.414565649921552,0.005156729190401478,4393,105,4288,0.023901661734577737,4393,146.43672307229335,-2.670781266854936,-1.5749323350213524,2.456618422004518,1.4158846451237839,-0.00003513126808430732,-0.000021476474555882677,0.00003240542667949456,0.000019142418332563395,0.000024455864929780618,-0.0007482008977413886,-0.0026546990869098447,0.0003911053941899452,0.0004140612858511242,0.1775912997716692,0.1873087729153147,0.4288299567493782,0.4195492829501595,0.46342866042867253,0.4460621489661078,0.000024808780125878214,0.00008267662924743484,0.00022241603552324002,0.00029221119186608076,0.00045160365790864203,0.0019738080605176513,0.003025789175750304,0.0061208175716666756,0.01394344510614589,0.0006209287970168956,0.001204358901848665,0.0017917336921095116,0.0025697961362492507,0.00358422312839286,0.007517119262164664,0.011242258559206516,0.017863034000767285,0.031285202630515103,-0.0006412240932872489,-0.001229670972251129,-0.0017529954458661728,-0.0025330977473932504,-0.003479915125547087,-0.005850558939676831,-0.008384929856702816,-0.011204021465111659,-0.01483805010640841,0.6191668563623948,0.43523787844297745,0.22308217618939222,0,0.18392897791941726,0.21215570225358524,950.5599264705883,642.5,1378.694560669456,1351.5,1450.4714285714285,1463.5,0,0
ETHUSDT,Sample,positive,3.237304214147783,0.004496255852983032,4156,72,4084,0.017324350336862367,4156,138.53654019768976,-0.10462835112733121,-0.06003007484053759,0.10798296787457234,0.05721247293276368,-0.0000442712802396674,-0.000026698872855969273,0.000045534139724153825,0.000025596323414123102,0.0000401895944956761,-0.000972376771477846,-0.0034848147920905057,0.0005452764266006411,0.0005861632340583223,0.14675991436540758,0.1626909652322304,0.4584576515880693,0.4412704523580498,0.5109923509447334,0.4881165170591766,0.00002130848865935158,0.00012859820098125725,0.00032351197518121476,0.000647171311649581,0.0009534289209532005,0.002764121451828848,0.005284580895779563,0.009495077638542546,0.02256904731603834,0.0008490444475774244,0.0015888996083082607,0.0024172860630169895,0.0036312480448763306,0.005175529564438749,0.010346208684599366,0.015996684865021822,0.024547079078440573,0.04399877578720069,-0.0009203263050071147,-0.0016831205910995807,-0.002381579549929736,-0.003239606695372851,-0.004318171454029348,-0.007377368092972264,-0.009899940609739418,-0.013474382214512857,-0.017588482510976076,0.7978825794032723,0.5476419634263715,0.2880173243503369,0,0.2502406159769009,0.25962463907603467,753.7988540410132,429.5,1199.7043057996484,980.5,1484.7744360902257,1534,0,0
NEOUSDT,Sample,positive,0.2854040668351565,0.00570808133670313,745,5,740,0.006711409395973154,745,24.833908192319267,-0.000337858404476229,-0.0002691729323150251,0.00033337889561420954,0.0002586213436064824,-0.00015947166462726038,-0.00012813268202992547,0.00015745499926565683,0.00012200230329978362,-0.00015977068987450377,-0.0036269218348090257,-0.012323143013850698,0.0012717706404968318,0.0013919713835495087,0.24055144234574052,0.2936423965550909,0.2987919463087245,0.2747651006711403,0.26965736488873393,0.2376934666484038,-0.0000684497515517542,0.00007760121626906738,0.00030276449602328507,0.0012343426121488048,0.0009421966187106394,0.0010511633404981739,0.004457902282630915,0.003022605255277428,0.001012341231717013,0.0016714247748537137,0.0033540828415803167,0.004985693048563188,0.00727600652302891,0.010485335816901612,0.01764885009839459,0.02505217499667292,0.034581595053565464,0.04767144424536025,-0.002045210144944524,-0.0037966886652792365,-0.0055690687883578355,-0.007127097391973898,-0.0100323242184779,-0.01532250760060137,-0.02088072928213028,-0.025748370725500954,-0.03461704422905547,0.8429530201342282,0.738255033557047,0.5395973154362416,0,0.10469798657718121,0.19865771812080538,299.38853503184714,122,739.4145454545454,517,1326.5124378109454,1266.5,0,0
LTCUSDT,Sample,positive,3.923765538256096,0.005302385862508238,3623,74,3549,0.020425062103229367,3623,120.76946225607074,-0.0034315037610657966,-0.0019398495722719629,0.003457721305329821,0.001992936121489486,-0.00006751282303694348,-0.00003961225115026138,0.00006804303100221856,0.000040347940661091905,0.00008297314515606492,-0.0014200148246928885,-0.005363265006747987,0.0007159788782590083,0.0007715555345342378,0.15649319701108894,0.18206499233810045,0.3763869721225508,0.36619928236268895,0.38168426863460014,0.36736383761342994,0.00009219190477698148,0.0003658309020361311,0.0006813426166457687,0.0008785491698030431,0.0009447205420172518,0.0021406224596721827,0.003071639337010253,0.005886262412882384,0.01031221668630692,0.001129166211284618,0.0021667224550599084,0.0031794144363035213,0.004607406126951907,0.006478750745320628,0.011857732671806957,0.017909521422997288,0.0258112375099448,0.0415651008547145,-0.001191050589033252,-0.002105741477116314,-0.0028972927765277723,-0.004175417248209564,-0.005917451764812826,-0.009685021451555986,-0.012712110533416351,-0.01637706845519522,-0.022465407541557278,0.7562793265249793,0.5677615235992272,0.3723433618548164,0,0.18851780292575213,0.1954181617444107,562.1040145985402,294,1001.0500729217307,799,1335.9243884358784,1282,0,0
QTUMUSDT,Sample,positive,0.17980000000000085,0.017980000000000086,96,1,95,0.010416666666666666,96,3.2000740757887915,-0.0002982612767720286,-0.00025714285432358293,0.00033632705974680443,0.0002539729606469507,-0.0003530999021909384,-0.0003132701297402086,0.0003985736475781879,0.00030436321922130917,-0.0004759971288601933,-0.008705428668303325,-0.02782892968329403,0.002856945031221346,0.0033535249267444968,0.2855614182636687,0.3491890721949767,0.24114583333333336,0.2339583333333336,0.17817982456140358,0.19047619047619047,0.0011098684062840133,0.003718914999423633,0.0020793021795629855,0.0012099093187943933,-0.0006305991986275036,0.002985955784666318,0.010798040957216157,0.021579773050531503,-0.0006913924367677807,0.003371287603980548,0.006838350865832957,0.008560163327722647,0.01087532591830393,0.012985679313027113,0.0234006592506414,0.034861257533377474,0.0587197970814492,0.06780374764525347,-0.002278316178968414,-0.003506095842335287,-0.00559692440043032,-0.00888093597585014,-0.010924695653802136,-0.01630386264890515,-0.018507558675707445,-0.024545331662846077,-0.03499613246646457,0.9479166666666666,0.7916666666666666,0.6354166666666666,0.010416666666666666,0.15625,0.15625,220.5054945054945,51,597.4473684210526,225.5,1005.8360655737705,432,1406,1406
ADAUSDT,Sample,flat,0,0,1,0,1,0,1,0.033334104956133245,-0.00047180451114093186,-0.00047180451114093186,0.0002831102547895071,0.0002831102547895071,-0.002048651806951506,-0.002048651806951506,0.0012293107025163137,0.0012293107025163137,0.02083333333333348,-0.0933070866141732,-0.08900316455696211,0.028302033355334308,0.018309575198311893,0.2838323353293416,0.2096924510717617,0.55,0.52,0.3684210526315789,0.3673469387755102,-0.005644811115935733,-0.003039513677811523,0.007381676074685206,0.011289622231871466,0.021710811984368306,-0.03430308293530182,-0.012158054711246202,-0.05384281372123312,-0.04385584020842381,0.007815892314372519,0.02257924446374293,0.02257924446374293,0.02257924446374293,0.023447676943117557,0.02735562310030404,0.02735562310030404,0.02735562310030404,0.02735562310030404,-0.013026487190620939,-0.013026487190620939,-0.013026487190620939,-0.013026487190620939,-0.013026487190620939,-0.05644811115935744,-0.05644811115935744,-0.07381676074685195,-0.07381676074685195,1,1,0,0,0,1,9,9,10,10,0,0,0,0
XRPUSDT,Sample,negative,-0.08529875666074481,-0.008529875666074481,359,1,358,0.002785515320334262,359,11.966943679251834,-0.00034692881184065827,-0.00025744360910249457,0.00039084487578975213,0.000273375877741899,-0.0002488649071954659,-0.00018017699355139759,0.0002785084873509489,0.00019592077701657509,-0.0001267300814997905,-0.006193885746562363,-0.020790497885532434,0.0020987354767939134,0.002266683404737338,0.19777557579810273,0.25856879003259386,0.43175487465181045,0.4127576601671302,0.5015393637296595,0.478369620828833,-0.0001937925406612134,-0.0009249398916707681,0.0001412737432883239,0.0011029460331796394,0.000647899729539365,0.005008634399288352,0.01935548084445555,0.030062794546506313,0.034513263703036826,0.0033299632450411454,0.005261954725465835,0.007350235800164316,0.00994673860322038,0.013666981431390108,0.024001823434093322,0.04225252405441183,0.0715563780961047,0.09779542794427595,-0.0036813247931997226,-0.006508756964961395,-0.008741859399458332,-0.010486230856907282,-0.014772871987605025,-0.0198605019783671,-0.02228710143286527,-0.02537536687899408,-0.033222055248812145,0.9164345403899722,0.83008356545961,0.6434540389972145,0.019498607242339833,0.08635097493036212,0.18662952646239556,288.67477203647417,70,536.6409395973154,385,730.077922077922,549,1803.2857142857142,2096
IOTAUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLMUSDT,Sample,flat,0,0,1,0,1,0,1,0.033334104956133245,-0.0003184962403190724,-0.0003184962403190724,0.00024927806947500845,0.00024927806947500845,-0.0015681744968935125,-0.0015681744968935125,0.0012273661717134832,0.0012273661717134832,0.02472250252270447,-0.08472284812978814,-0.07555757851615841,0.020473289380371296,0.013312846956076707,0.33571428571428513,0.23782234957020412,0.55,0.5,0.3157894736842105,0.30612244897959184,-0.010339734121122546,-0.00492368291482026,0.009354997538158383,0.03545051698670587,0.05416051206302308,-0.026587887740029625,-0.022648941408173306,-0.056129985228951185,-0.0374199901526342,0.009354997538158383,0.010339734121122657,0.01969473165928126,0.036435253569670145,0.05416051206302308,0.056129985228951185,0.056129985228951185,0.056129985228951185,0.056129985228951185,-0.01624815361890697,-0.01624815361890697,-0.01624815361890697,-0.01624815361890697,-0.01624815361890697,-0.04579025110782864,-0.04972919743968485,-0.07385524372230434,-0.07582471688823234,1,1,1,0,0,0,10,10,35,35,72,72,0,0
TRXUSDT,Sample,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETCUSDT,Sample,negative,-2.914877561018076,-0.010051301934545091,2501,29,2472,0.011595361855257898,2501,83.36859649528924,-0.0008064894189029909,-0.0005413533799129028,0.0007814149648280606,0.0005249384118819469,-0.00010676396290063138,-0.00007509044790148981,0.00010378984295648407,0.00007095440199354716,0.00006193163364871667,-0.002251782056442706,-0.008131926036354377,0.001216324761429915,0.0012732039037725087,0.19173081094505617,0.21383555337956164,0.20441823270691642,0.19334666133546669,0.15938887602853577,0.15672914507666247,0.0001593544794549766,0.00048201541531069656,0.0009793381017042563,0.0011671815223277529,0.0019292397995225288,0.0046745644137772225,0.0072899219815471174,0.009124021807010116,0.017487625942633818,0.0016523050968058014,0.00320317445134979,0.004753238904055629,0.007028359849932278,0.00968506061945759,0.01793276576140822,0.025832676101554018,0.03813890006222181,0.06212401285850139,-0.0015614906246238399,-0.00298547645358445,-0.004012635780428059,-0.0056503115739999134,-0.008057535555220237,-0.012903724799842123,-0.017116120905050082,-0.0238466414916931,-0.030110027035242824,0.8284686125549781,0.6341463414634146,0.438624550179928,0.029188324670131948,0.1943222710915634,0.1955217912834866,331.3967181467182,137,712.9602774274905,441.5,1123.7301731996354,942,1660.6712328767123,1921
LINKUSDT,Sample,positive,1.6724414212861214,0.003279296904482591,3041,51,2990,0.016770799079250248,3041,101.3690131716012,-0.0010741369360837384,-0.0007383458694139814,0.0010110335358585402,0.0006451089670583749,-0.0000950403430205945,-0.00006760394253341243,0.00008942279133550113,0.00006001132511835364,0.000021263492170316742,-0.002072405440614129,-0.007330840588029716,0.0009189243459891864,0.0009952362263374486,0.1728244752650998,0.20422490286269893,0.4213252219664596,0.40546530746465553,0.47105349694525667,0.4526840660631221,0.0001099699890588286,0.00023391902145168472,0.0008492332450777458,0.001439482845915327,0.002124783260121672,0.003999687892684275,0.0064707798719753455,0.010705731616998433,0.018887235582868374,0.0015649524009107934,0.002759471824756534,0.004073847466521349,0.006140870782455896,0.00906163402239037,0.016833585175596626,0.024312306320132447,0.037310487113976054,0.059590786037389626,-0.0016273852989907296,-0.002894259652218873,-0.0038284598082501888,-0.005253878808804064,-0.007414220841757629,-0.012587185393541917,-0.01667821024766448,-0.02336944515827206,-0.029622232576136057,0.862216376192042,0.7037158829332456,0.48931272607694837,0.007563301545544229,0.15850049325879645,0.21440315685629727,399.1651411136537,192.5,855.8990654205608,563,1293.2836021505377,1235.5,989.695652173913,374
