strengthDefinition,metric,pearson,spearman,n
normalisedAcceleration,timeTo1Pct,-0.16953108142726048,-0.3995333747193479,88825
normalisedAcceleration,timeTo2Pct,-0.1694581461186918,-0.3188545997181792,69111
normalisedAcceleration,timeTo4Pct,-0.16046551110694934,-0.23650885634711497,45779
slopeStrength,timeTo1Pct,-0.18154071793482135,-0.4147586643779802,88825
slopeStrength,timeTo2Pct,-0.1781782470488711,-0.32542890466154034,69111
slopeStrength,timeTo4Pct,-0.15794632170761008,-0.23503832590864324,45779
accelerationExcess,timeTo1Pct,-0.16953108142726042,-0.3995333747193479,88825
accelerationExcess,timeTo2Pct,-0.16945814611869162,-0.3188545997181792,69111
accelerationExcess,timeTo4Pct,-0.16046551110694918,-0.23650885634711497,45779
slopeExcess,timeTo1Pct,-0.18154071793482146,-0.414758665216728,88825
slopeExcess,timeTo2Pct,-0.1781782470488712,-0.32542890473469455,69111
slopeExcess,timeTo4Pct,-0.15794632170761005,-0.23503832600661825,45779
combinedStrength,timeTo1Pct,-0.20101632399959066,-0.48531986161580676,88825
combinedStrength,timeTo2Pct,-0.19881946874796916,-0.38531193707394634,69111
combinedStrength,timeTo4Pct,-0.1818572406687726,-0.2853311068151288,45779
accelerationToSlopeRatio,timeTo1Pct,0.03483839117009841,0.015532146659762843,88825
accelerationToSlopeRatio,timeTo2Pct,0.037747518178022174,0.004391252913088344,69111
accelerationToSlopeRatio,timeTo4Pct,0.005819382324968928,-0.003337126394747883,45779
