strengthDefinition,scope,quintile,target,deadlineMinutes,signalCount,hitCount,hitRatePct
normalisedAcceleration,allSignals,,1pct,60,115753,20478,17.691118156764833
normalisedAcceleration,allSignals,,1pct,120,115753,31239,26.987637469439235
normalisedAcceleration,allSignals,,1pct,360,115753,53337,46.07828738779988
normalisedAcceleration,allSignals,,1pct,720,115753,66437,57.39548866984009
normalisedAcceleration,allSignals,,1pct,1440,115753,77838,67.24490941919431
normalisedAcceleration,allSignals,,1pct,2160,115753,84409,72.92165213860548
normalisedAcceleration,allSignals,,1pct,2880,115753,88825,76.73667205169629
normalisedAcceleration,allSignals,,2pct,60,115753,5440,4.699662211778528
normalisedAcceleration,allSignals,,2pct,120,115753,10785,9.317253116549896
normalisedAcceleration,allSignals,,2pct,360,115753,26949,23.281470026694773
normalisedAcceleration,allSignals,,2pct,720,115753,40439,34.93559562171175
normalisedAcceleration,allSignals,,2pct,1440,115753,53632,46.33314039376949
normalisedAcceleration,allSignals,,2pct,2160,115753,62089,53.639214534396515
normalisedAcceleration,allSignals,,2pct,2880,115753,69111,59.705579984968
normalisedAcceleration,allSignals,,4pct,60,115753,929,0.8025709916805611
normalisedAcceleration,allSignals,,4pct,120,115753,2567,2.217653106182993
normalisedAcceleration,allSignals,,4pct,360,115753,9599,8.29265764170259
normalisedAcceleration,allSignals,,4pct,720,115753,18590,16.060058918559346
normalisedAcceleration,allSignals,,4pct,1440,115753,30861,26.661080058400216
normalisedAcceleration,allSignals,,4pct,2160,115753,39136,33.80992285297141
normalisedAcceleration,allSignals,,4pct,2880,115753,45779,39.54886698400905
slopeStrength,allSignals,,1pct,60,115753,20478,17.691118156764833
slopeStrength,allSignals,,1pct,120,115753,31239,26.987637469439235
slopeStrength,allSignals,,1pct,360,115753,53337,46.07828738779988
slopeStrength,allSignals,,1pct,720,115753,66437,57.39548866984009
slopeStrength,allSignals,,1pct,1440,115753,77838,67.24490941919431
slopeStrength,allSignals,,1pct,2160,115753,84409,72.92165213860548
slopeStrength,allSignals,,1pct,2880,115753,88825,76.73667205169629
slopeStrength,allSignals,,2pct,60,115753,5440,4.699662211778528
slopeStrength,allSignals,,2pct,120,115753,10785,9.317253116549896
slopeStrength,allSignals,,2pct,360,115753,26949,23.281470026694773
slopeStrength,allSignals,,2pct,720,115753,40439,34.93559562171175
slopeStrength,allSignals,,2pct,1440,115753,53632,46.33314039376949
slopeStrength,allSignals,,2pct,2160,115753,62089,53.639214534396515
slopeStrength,allSignals,,2pct,2880,115753,69111,59.705579984968
slopeStrength,allSignals,,4pct,60,115753,929,0.8025709916805611
slopeStrength,allSignals,,4pct,120,115753,2567,2.217653106182993
slopeStrength,allSignals,,4pct,360,115753,9599,8.29265764170259
slopeStrength,allSignals,,4pct,720,115753,18590,16.060058918559346
slopeStrength,allSignals,,4pct,1440,115753,30861,26.661080058400216
slopeStrength,allSignals,,4pct,2160,115753,39136,33.80992285297141
slopeStrength,allSignals,,4pct,2880,115753,45779,39.54886698400905
accelerationExcess,allSignals,,1pct,60,115753,20478,17.691118156764833
accelerationExcess,allSignals,,1pct,120,115753,31239,26.987637469439235
accelerationExcess,allSignals,,1pct,360,115753,53337,46.07828738779988
accelerationExcess,allSignals,,1pct,720,115753,66437,57.39548866984009
accelerationExcess,allSignals,,1pct,1440,115753,77838,67.24490941919431
accelerationExcess,allSignals,,1pct,2160,115753,84409,72.92165213860548
accelerationExcess,allSignals,,1pct,2880,115753,88825,76.73667205169629
accelerationExcess,allSignals,,2pct,60,115753,5440,4.699662211778528
