strengthDefinition,metric,pearson,spearman,n
normalisedAcceleration,averageStrengthVsMarketNetProfit,-0.13425306847971175,-0.05225934444235422,66
slopeStrength,averageStrengthVsMarketNetProfit,-0.12707219769861325,-0.04014370866959618,66
accelerationExcess,averageStrengthVsMarketNetProfit,-0.13425306847971172,-0.05225934444235422,66
slopeExcess,averageStrengthVsMarketNetProfit,-0.1270721976986132,-0.04014370866959618,66
combinedStrength,averageStrengthVsMarketNetProfit,-0.13148911604446545,-0.04231940382597174,66
accelerationToSlopeRatio,averageStrengthVsMarketNetProfit,0.24756756529234344,0.03301937354969973,66
normalisedAcceleration,1pct_targetHitRatePct,0.21349531382182282,0.6268367906167611,66
normalisedAcceleration,2pct_targetHitRatePct,0.34626337284847614,0.5599243745020341,66
normalisedAcceleration,4pct_targetHitRatePct,0.30361237366087607,0.42719144202370307,66
normalisedAcceleration,1pct_medianTimeToTarget,-0.4190270561519779,-0.9610630977681627,65
normalisedAcceleration,2pct_medianTimeToTarget,-0.5099500136604698,-0.96697535463472,64
normalisedAcceleration,4pct_medianTimeToTarget,-0.5428131133531501,-0.8147263128646847,60
slopeStrength,1pct_targetHitRatePct,0.26536800934340515,0.6503478850565554,66
slopeStrength,2pct_targetHitRatePct,0.3962226622260186,0.5863644929739843,66
slopeStrength,4pct_targetHitRatePct,0.3425915779998662,0.4651440554677217,66
slopeStrength,1pct_medianTimeToTarget,-0.40363259668290835,-0.9627241728939332,65
slopeStrength,2pct_medianTimeToTarget,-0.4976247693514443,-0.9688068774315752,64
slopeStrength,4pct_medianTimeToTarget,-0.5069574217056408,-0.8167824395665463,60
accelerationExcess,1pct_targetHitRatePct,0.21349531382182285,0.6268367906167611,66
accelerationExcess,2pct_targetHitRatePct,0.3462633728484761,0.5599243745020341,66
accelerationExcess,4pct_targetHitRatePct,0.30361237366087623,0.42719144202370307,66
accelerationExcess,1pct_medianTimeToTarget,-0.4190270561519781,-0.9610630977681627,65
accelerationExcess,2pct_medianTimeToTarget,-0.5099500136604697,-0.96697535463472,64
accelerationExcess,4pct_medianTimeToTarget,-0.5428131133531499,-0.8147263128646847,60
slopeExcess,1pct_targetHitRatePct,0.26536800934340526,0.6503478850565554,66
slopeExcess,2pct_targetHitRatePct,0.39622266222601865,0.5863644929739843,66
slopeExcess,4pct_targetHitRatePct,0.34259157799986634,0.4651440554677217,66
slopeExcess,1pct_medianTimeToTarget,-0.40363259668290824,-0.9627241728939332,65
slopeExcess,2pct_medianTimeToTarget,-0.4976247693514445,-0.9688068774315752,64
slopeExcess,4pct_medianTimeToTarget,-0.5069574217056411,-0.8167824395665463,60
combinedStrength,1pct_targetHitRatePct,0.24194114298138789,0.6303571683938426,66
combinedStrength,2pct_targetHitRatePct,0.37466780783001213,0.5677832555656336,66
combinedStrength,4pct_targetHitRatePct,0.3260137794925089,0.44137406421879866,66
combinedStrength,1pct_medianTimeToTarget,-0.4137846533623076,-0.9652157855825889,65
combinedStrength,2pct_medianTimeToTarget,-0.5068452046908186,-0.970752870403234,64
combinedStrength,4pct_medianTimeToTarget,-0.5266409618183499,-0.8192275632120033,60
accelerationToSlopeRatio,1pct_targetHitRatePct,-0.3562392583733905,-0.5394350304488628,66
accelerationToSlopeRatio,2pct_targetHitRatePct,-0.3964258194984691,-0.49563203899237507,66
accelerationToSlopeRatio,4pct_targetHitRatePct,-0.33765405355600836,-0.448872681844777,66
accelerationToSlopeRatio,1pct_medianTimeToTarget,0.5872399566830573,0.797556479138043,65
accelerationToSlopeRatio,2pct_medianTimeToTarget,0.587717277470301,0.7966895225970978,64
accelerationToSlopeRatio,4pct_medianTimeToTarget,0.4963752854159869,0.6092247846624063,60
