symbol,datasetGroup,marketNetProfit,signalCount,positiveSignals,flatSignals,negativeSignals,averageNormalisedAcceleration,medianNormalisedAcceleration,averageSlopeStrength,medianSlopeStrength,averageAccelerationExcess,medianAccelerationExcess,averageSlopeExcess,medianSlopeExcess,averageCombinedStrength,medianCombinedStrength,averageAccelerationToSlopeRatio,medianAccelerationToSlopeRatio,target1PctHitRatePct,target1PctMedianTimeMinutes,target2PctHitRatePct,target2PctMedianTimeMinutes,target4PctHitRatePct,target4PctMedianTimeMinutes
ZECUSDT,Sample,19.093584879365956,4218,4218,0,0,0.0001052054605526155,0.00006675540386191575,0.00011488511085713309,0.00007070322452129964,-0.00003466194395548164,-0.00007311200064618118,-0.00002770000519751509,-0.00007188189153334906,0.00022009057140974896,0.00016097836474976966,4.914692703938377,0.9340815899321537,95.23470839260312,121,83.54670459933618,391.5,70.53105737316262,743
YFIUSDT,Sample,10.855240665586129,4090,4090,0,0,0.00006969986620072563,0.00004517594790809051,0.00007036664455518914,0.00004616422241376456,-0.0000701675383073713,-0.00009469145660000641,-0.00007221847149945969,-0.00009642089364088414,0.00014006651075591475,0.00010644538873354789,4.995508503681414,0.9798319327731094,84.18092909535453,272,65.42787286063569,583.5,41.271393643031786,1224
COMPUSDT,Sample,8.681159349790141,3455,3455,0,0,0.00009208290332546948,0.00006185044762310156,0.00009262317049175563,0.00006670565120691216,-0.00004778450118262748,-0.00007801695688499536,-0.000049961945562893336,-0.00007587946484773654,0.00018470607381722436,0.0001432834977342001,2.159038690423432,0.9523588739493657,86.48335745296671,236,72.67727930535456,493,47.930535455861076,1126
BTCUSDT,Sample,5.414565649921552,4393,4393,0,0,0.00003240542667949456,0.000019142418332563395,0.00003513126808430732,0.000021476474555882677,-0.00010746197782860256,-0.00012072498617553352,-0.00010745384797034146,-0.00012110864149876602,0.00006753669476380177,0.000049445809054450495,22.07170025600683,0.9126885224572694,61.91668563623948,642.5,43.52378784429774,1351.5,22.30821761893922,1463.5
DCRUSDT,Sample,5.315004369275451,3480,3480,0,0,0.00012964817914593125,0.00006524103902584243,0.0001206004331768818,0.00006855100185030146,-0.00001021922536216574,-0.00007462636548225449,-0.000021984682877766983,-0.00007403411420434724,0.00025024861232281274,0.0001486075918697459,2.0564039184053273,1.031958053907787,83.2471264367816,169,62.72988505747127,452,44.195402298850574,801.5
AAVEUSDT,OutOfSample,4.23979032319625,4276,4276,0,0,0.00008921057949482524,0.00005483318341781812,0.00009043796135540113,0.000060576879767242805,-0.00005065682501327168,-0.0000850342210902788,-0.00005214715469924751,-0.0000820082362874059,0.0001796485408502261,0.00013584599981552003,3.5691790251249533,0.8961788632924055,83.44246959775491,169,63.98503274087932,464,44.43405051449953,1051.5
SOLUSDT,Sample,4.087759926981848,4104,4104,0,0,0.00005945859884392989,0.00003690076246014857,0.0000642450024062243,0.00004125336284992779,-0.00008040880566416686,-0.00010296664204794835,-0.000078340113648424,-0.0001013317532047209,0.00012370360125015396,0.00009056877112321074,2.836386952470097,0.8958158710572561,77.729044834308,279.5,59.23489278752436,704,41.228070175438596,1277.5
LTCUSDT,Sample,3.923765538256096,3623,3623,0,0,0.00006804303100221856,0.000040347940661091905,0.00006751282303694348,0.00003961225115026138,-0.00007182437350587852,-0.00009951946384700502,-0.00007507229301770544,-0.00010297286490438732,0.00013555585403916161,0.00009747359617156308,2.6998008417553683,1.010279538149858,75.62793265249793,294,56.77615235992272,799,37.234336185481645,1282
ETHUSDT,Sample,3.237304214147783,4156,4156,0,0,0.000045534139724153825,0.000025596323414123102,0.0000442712802396674,0.000026698872855969273,-0.00009433326478394307,-0.00011427108109397381,-0.00009831383581498121,-0.00011588624319867942,0.00008980541996382135,0.00006247319959393555,4.83720685198393,0.9530428204976832,79.78825794032723,429.5,54.76419634263715,980.5,28.80173243503369,1534
DASHUSDT,Sample,2.744131462295859,3985,3985,0,0,0.00014901419334083062,0.00008116153310752695,0.00014952131562061285,0.00008254467008697088,0.000009146788832733473,-0.000058705871400569975,0.000006936199565964377,-0.000060040445967677813,0.0002985355089614437,0.00020790861795052135,3.1058162954113246,0.9860324788893982,88.40652446675031,90,76.73776662484316,246.5,60.9284818067754,625
INJUSDT,OutOfSample,2.111644872167153,2617,2617,0,0,0.000138727068601136,0.00009863197767569569,0.00014040336162458476,0.00009955148657760356,-0.0000011403359069611767,-0.00004123542683240123,-0.000002181754430063575,-0.000043033629477045134,0.0002791304302257209,0.00022117371056316196,1.6009874408373286,0.9810564868459162,85.97630875047764,94,70.15666794038977,289.5,49.2166602980512,698.5
MORPHOUSDT,OutOfSample,2.0610158762057993,1420,1420,0,0,0.00019241019618467932,0.00013816969824725152,0.0002018240995056938,0.00014652909527353234,0.0000525427916765824,-0.0000016977062608454008,0.0000592389834510449,0.000003943979218883645,0.00039423429569037326,0.00032142942910435906,1.3482954679624841,0.9560768418633143,90.70422535211267,96,83.45070422535211,303,63.30985915492958,718
