Name,SampleNetProfit,OutOfSampleNetProfit,NetProfitDifference,SampleReturnPct,OutOfSampleReturnPct,ReturnDifference,SampleAccepted,OutOfSampleAccepted,SampleWinRate,OutOfSampleWinRate,SampleRejectedByCapacity,OutOfSampleRejectedByCapacity,SampleBinanceArrayPosition,OutOfSampleBinanceArrayPosition
ZECUSDT,19.093584879365956,0,-19.093584879365956,0.013936923269610187,0,-0.013936923269610187,137,0,0.9343065693430657,0,4081,0,477,
YFIUSDT,10.855240665586129,0,-10.855240665586129,0.009606407668660291,0,-0.009606407668660291,113,0,0.7787610619469026,0,3977,0,912,
COMPUSDT,8.681159349790141,0,-8.681159349790141,0.00894964881421664,0,-0.00894964881421664,97,0,0.8144329896907216,0,3358,0,833,
BTCUSDT,5.414565649921552,0,-5.414565649921552,0.005156729190401478,0,-0.005156729190401478,105,0,0.7523809523809524,0,4288,0,11,
DCRUSDT,5.315004369275451,0,-5.315004369275451,0.005368691282096415,0,-0.005368691282096415,99,0,0.5858585858585859,0,3381,0,882,
AAVEUSDT,0,4.23979032319625,4.23979032319625,0,0.007851463561474538,0.007851463561474538,0,54,0,0.8703703703703703,0,4222,,1092
SOLUSDT,4.087759926981848,0,-4.087759926981848,0.0070478619430721515,0,-0.0070478619430721515,58,0,0.7241379310344828,0,4046,0,779,
LTCUSDT,3.923765538256096,0,-3.923765538256096,0.005302385862508238,0,-0.005302385862508238,74,0,0.7027027027027027,0,3549,0,190,
ETHUSDT,3.237304214147783,0,-3.237304214147783,0.004496255852983032,0,-0.004496255852983032,72,0,0.6944444444444444,0,4084,0,12,
DASHUSDT,2.744131462295859,0,-2.744131462295859,0.00397700211926936,0,-0.00397700211926936,69,0,0.7971014492753623,0,3916,0,490,
INJUSDT,0,2.111644872167153,2.111644872167153,0,0.007281534041955699,0.007281534041955699,0,29,0,0.6896551724137931,0,2588,,1113
MORPHOUSDT,0,2.0610158762057993,2.0610158762057993,0,0.014721541972898567,0.014721541972898567,0,14,0,0.9285714285714286,0,1406,,3322
LINKUSDT,1.6724414212861214,0,-1.6724414212861214,0.003279296904482591,0,-0.003279296904482591,51,0,0.6862745098039216,0,2990,0,431,
ONGUSDT,1.2586000000000033,0,-1.2586000000000033,0.017980000000000048,0,-0.017980000000000048,7,0,1,0,56,0,464,
MSTRBUSDT,0,1.2046467261945655,1.2046467261945655,0,0.003170122963669909,0.003170122963669909,0,38,0,0.7368421052631579,0,4161,,3605
ZENUSDT,1.0768324804883163,0,-1.0768324804883163,0.003589441601627721,0,-0.003589441601627721,30,0,0.7666666666666667,0,2706,0,842,
CRCLBUSDT,0,0.9445948222780676,0.9445948222780676,0,0.0018891896445561351,0.0018891896445561351,0,50,0,0.72,0,4302,,3592
ATOMUSDT,0.928753739074089,0,-0.928753739074089,0.011609421738426112,0,-0.011609421738426112,8,0,0.875,0,441,0,502,
ZROUSDT,0,0.3595999999999995,0.3595999999999995,0,0.017979999999999975,0.017979999999999975,0,2,0,1,0,654,,2670
NEOUSDT,0.2854040668351565,0,-0.2854040668351565,0.00570808133670313,0,-0.00570808133670313,5,0,0.8,0,740,0,141,
CRVUSDT,0.17980000000000174,0,-0.17980000000000174,0.017980000000000173,0,-0.017980000000000173,1,0,1,0,13,0,939,
QTUMUSDT,0.17980000000000085,0,-0.17980000000000085,0.017980000000000086,0,-0.017980000000000086,1,0,1,0,95,0,279,
STXUSDT,0.17980000000000085,0,-0.17980000000000085,0.017980000000000086,0,-0.017980000000000086,1,0,1,0,6,0,639,
METUSDT,0,0.17979999999999996,0.17979999999999996,0,0.017979999999999996,0.017979999999999996,0,1,0,1,0,4,,3391
AVAXUSDT,0,0.1227367528367156,0.1227367528367156,0,0.00111578866215196,0.00111578866215196,0,11,0,0.6363636363636364,0,2038,,1052
APTUSDT,0,0.05521301482701779,0.05521301482701779,0,0.005521301482701779,0.005521301482701779,0,1,0,1,0,85,,2108
ASTERUSDT,0,0.026019923857868,0.026019923857868,0,0.0026019923857868,0.0026019923857868,0,1,0,1,0,124,,3327
ADAUSDT,0,0,0,0,0,0,0,0,0,0,1,0,296,
AEROUSDT,0,0,0,0,0,0,0,0,0,0,0,62,,3646
ALGOUSDT,0,0,0,0,0,0,0,0,0,0,0,0,541,
ANKRUSDT,0,0,0,0,0,0,0,0,0,0,0,0,569,
ARBUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2167
ARPAUSDT,0,0,0,0,0,0,0,0,0,0,0,0,648,
BANDUSDT,0,0,0,0,0,0,0,0,0,0,6,0,612,
BLURUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2364
CELRUSDT,0,0,0,0,0,0,0,0,0,0,0,0,484,
CHIPUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,3564
CHRUSDT,0,0,0,0,0,0,0,0,0,0,0,0,794,
CHZUSDT,0,0,0,0,0,0,0,0,0,0,0,0,609,
COTIUSDT,0,0,0,0,0,0,0,0,0,0,0,0,752,
CTSIUSDT,0,0,0,0,0,0,0,0,0,0,0,0,786,
CVCUSDT,0,0,0,0,0,0,0,0,0,0,0,0,604,
DOGEUSDT,0,0,0,0,0,0,0,0,0,0,0,0,558,
DOTUSDT,0,0,0,0,0,0,0,0,0,0,0,162,,954
DUSKUSDT,0,0,0,0,0,0,0,0,0,0,0,0,563,
ENAUSDT,0,0,0,0,0,0,0,0,0,0,0,13,,2556
ENJUSDT,0,0,0,0,0,0,0,0,0,0,0,0,495,
ETHFIUSDT,0,0,0,0,0,0,0,0,0,0,0,121,,2540
EURUSDT,0,0,0,0,0,0,0,0,0,0,4,0,694,
FDUSDUSDT,0,0,0,0,0,0,0,0,0,0,0,0,,2259
FETUSDT,0,0,0,0,0,0,0,0,0,0,0,2,,472
FILUSDT,0,0,0,0,0,0,0,0,0,0,0,157,,1105
HBARUSDT,0,0,0,0,0,0,0,0,0,0,0,0,627,
